"danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","preference"
0.63,0.5,-8.755,0.0611,0.611,4.04e-05,0.114,0.315,144.871,"positive"
0.71,0.458,-9.929,0.0874,0.231,0.000195,0.1,0.262,113.95,"positive"
0.724,0.491,-8.545,0.0617,0.644,0.0118,0.0834,0.565,128.819,"negative"
0.545,0.953,-3.745,0.0718,0.0269,0.124,0.141,0.281,127.989,"positive"
0.349,0.827,-6.924,0.28,0.0151,7.77e-05,0.11,0.148,136.893,"positive"
0.183,0.253,-17.359,0.0414,0.955,0.804,0.0837,0.0396,110.158,"positive"
0.693,0.733,-6.226,0.0495,0.0586,0.793,0.327,0.304,150.026,"positive"
0.763,0.577,-10.127,0.167,0.161,0.00362,0.225,0.569,116.982,"positive"
0.72,0.512,-8.47,0.0288,0.728,0.331,0.289,0.3,117.962,"positive"
0.274,0.0077,-30.364,0.0565,0.98,0.0729,0.0918,0.168,98.682,"negative"
0.52,0.531,-9.296,0.0331,0.177,0.00252,0.0677,0.145,144.093,"positive"
0.762,0.766,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,"negative"
0.695,0.797,-5.199,0.0548,0.00259,0.112,0.664,0.297,124.972,"positive"
0.587,0.738,-4.358,0.218,0.0388,9.1e-06,0.0764,0.385,157.85,"positive"
0.631,0.568,-6.547,0.0429,0.311,0,0.0899,0.285,127.958,"negative"
0.482,0.528,-8.947,0.161,0.295,0.000601,0.121,0.23,160.044,"positive"
0.596,0.882,-5.279,0.0296,2.58e-05,0.457,0.0421,0.109,119.999,"positive"
0.619,0.752,-4.481,0.052,0.126,0.118,0.112,0.225,129.952,"positive"
0.734,0.741,-7.035,0.0748,0.179,0.851,0.0976,0.403,115.034,"positive"
0.662,0.845,-3.688,0.0488,0.0497,6.15e-05,0.274,0.197,118.064,"positive"
0.391,0.512,-9.789,0.0666,0.0919,0.929,0.165,0.188,84.677,"positive"
0.897,0.686,-10.951,0.265,0.174,0.0187,0.0818,0.862,128.24,"negative"
0.594,0.612,-6.627,0.363,0.835,0,0.461,0.687,179.629,"negative"
0.64,0.448,-13.656,0.194,0.348,0.865,0.366,0.0785,85.005,"positive"
0.714,0.306,-12.111,0.0388,0.726,0.168,0.0924,0.314,129.984,"positive"
0.594,0.714,-5.292,0.0617,0.064,0.000685,0.115,0.134,145.095,"positive"
0.607,0.607,-7.089,0.0331,0.0412,0.908,0.111,0.236,119.97,"positive"
0.747,0.351,-7.061,0.0375,0.682,0.936,0.101,0.352,140.117,"positive"
0.666,0.703,-5.396,0.286,0.162,0,0.344,0.635,96.522,"negative"
0.55,0.449,-6.931,0.049,0.771,0.326,0.163,0.0592,170.044,"positive"
0.536,0.591,-6.233,0.0597,0.718,0.0019,0.113,0.293,100.055,"positive"
0.641,0.359,-15.124,0.0411,0.491,0.774,0.11,0.115,136.022,"positive"
0.701,0.527,-7.052,0.0508,0.33,0.000892,0.226,0.424,102.062,"positive"
0.33,0.796,-4.987,0.0473,0.007,0,0.0609,0.237,78.968,"positive"
0.486,0.519,-13.216,0.0521,0.741,0.842,0.0811,0.0393,99.872,"positive"
0.617,0.558,-7.046,0.0431,0.184,1.03e-06,0.0911,0.4,147.932,"positive"
0.409,0.991,-1.672,0.571,0.024,0.000746,0.549,0.0518,189.92,"negative"
